checkedAt,stockId,companyName,officialIndustry,action,fineIndustryTags,productTags,themeTags,groupTags,accuracy,sourceNote,reason
2026-09-13T06:19:50.227173+08:00,3583,辛耘企業,半導體業,enriched,半導體設備、濕製程設備、晶圓再生,濕製程設備、晶圓再生服務、半導體製程設備、自動化設備、再生晶圓,CoWoS擴產、先進封裝、半導體設備國產化、先進製程,半導體設備、晶圓再生、先進封裝,high,依辛耘公開公司資料整理；業務涵蓋半導體濕製程設備、製程設備代理與晶圓再生服務。,verified_company_rule
2026-09-13T06:19:50.227207+08:00,8462,柏文健康事業,運動休閒,enriched,連鎖健身中心、運動健康服務,健身房會員、私人教練課程、運動保健服務、兒童體適能,內需消費、健康管理、運動休閒,健身中心、運動服務,high,依柏文公開法說與公司資料整理；核心服務為健身工廠會員制健身中心、私人教練與運動健康服務。,verified_company_rule
2026-09-13T06:19:50.227231+08:00,1598,岱宇國際,運動休閒,enriched,健身器材、運動休閒設備,跑步機、室內健身車、橢圓機、按摩椅、商用健身器材,運動休閒、健康管理、居家健身,健身器材、運動用品,high,依岱宇國際公司產品與公開資料整理；主要產品為家用及商用健身器材與健康休閒設備。,verified_company_rule
2026-09-13T06:19:50.227245+08:00,9802,鈺齊國際,運動休閒,enriched,製鞋代工、戶外功能鞋,登山鞋、戶外鞋、運動鞋、雪靴、鞋類ODM,戶外休閒、製鞋供應鏈、品牌代工,製鞋、運動用品,high,依鈺齊-KY公開法說與公司資料整理；主要從事戶外功能鞋、運動鞋及多功能鞋款開發代工。,verified_company_rule
2026-09-13T06:19:50.227261+08:00,8927,北基國際,油電燃氣業,enriched,加油站通路、油品零售,汽柴油零售、加油站、潤滑油、洗車服務、液化石油氣,能源通路、油價、內需消費,油品通路、能源服務,high,依北基公開公司資料整理；主要經營加油站汽柴油零售、汽機車潤滑保養、洗車與液化石油氣等服務。,verified_company_rule
2026-09-13T06:19:50.227273+08:00,3016,嘉晶電子,半導體業,enriched,矽晶圓、磊晶晶圓,矽磊晶圓、再生晶圓、晶圓材料、半導體材料,半導體材料、先進製程、晶圓供應鏈,半導體材料、矽晶圓,high,依嘉晶電子公開公司資料整理；主要從事矽磊晶圓與半導體晶圓材料相關業務。,verified_company_rule
2026-09-13T06:19:50.227285+08:00,8478,東哥企業,運動休閒,enriched,豪華遊艇、高端休閒船舶,Ocean Alexander、大型遊艇、豪華遊艇、遊艇售後服務,高端消費、美元營收、北美市場,遊艇、高端休閒,high,依東哥遊艇公開資料整理；主要製造與銷售 Ocean Alexander 豪華遊艇並提供售後服務。,verified_company_rule
2026-09-13T06:19:50.227296+08:00,8467,波力環球企業,運動休閒,enriched,碳纖維運動用品、球拍製造,羽球拍、網球拍、曲棍球桿、碳纖維球拍、運動用品ODM,運動休閒、碳纖維材料、品牌代工,運動用品、碳纖維,high,依波力官方公司介紹與產品分類整理；主要產品包含碳纖維球拍、曲棍球桿及相關運動用品。,verified_company_rule
2026-09-13T06:19:50.227308+08:00,8433,弘帆,居家生活,enriched,流行飾品、美容美髮用品、個人護理電器,髮飾、梳鏡、珠寶配飾、手袋、美容美髮電器、跨境電商,美妝個護、生活消費、跨境電商,流行飾品、美妝個護,high,依弘帆公開法說與公司資料整理；主要從事流行髮飾、梳鏡、珠寶、手袋、美容美髮及個護電器等產品。,verified_company_rule
2026-09-13T06:19:50.227323+08:00,1909,榮成紙業,造紙工業,enriched,工業用紙、包裝紙,工業用紙、瓦楞紙箱、紙器包裝、回收紙、紙漿,循環經濟、包裝材料、原物料成本,造紙、包裝材料,high,依榮成紙業公開公司資料整理；主要產品為工業用紙、紙器包裝及回收紙相關業務。,verified_company_rule
